"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
10,"TPL2","4","19","female","Recall","Study","3","35","sprauncy","smart","1","smart","17850"
10,"TPL2","4","19","female","Recall","Study","3","36","stanchion","support","0","","13459"
10,"TPL2","4","19","female","Recall","Study","3","37","inchoate","undeveloped","0","","23956"
10,"TPL2","4","19","female","Recall","Study","3","38","frond","leaf","1","leaf","3558"
10,"TPL2","4","19","female","Recall","Study","3","39","effulgent","shining","0","","29066"
10,"TPL2","4","19","female","Recall","Study","3","40","burgeon","flourish","1","flourish","20373"
10,"TPL2","4","19","female","Recall","Study","3","41","spoliate","plunder","1","plunder","19450"
10,"TPL2","4","19","female","Recall","Study","3","42","blandish","flatter","0","flatting","9595"
10,"TPL2","4","19","female","Recall","Study","3","43","objurgate","rebuke","1","rebuke","16071"
10,"TPL2","4","19","female","Recall","Study","3","44","peculate","embezzle","1","embezzle","20875"
10,"TPL2","4","19","female","Recall","Study","3","45","orotund","pompous","1","pompous","18402"
11,"TPL2","5","27","female","PracticeFirstWord",NA,"1","1","infandous","horrible","0","","0"
11,"TPL2","5","27","female","PracticeFirstWord",NA,"1","2","droze","drip","0","drowsy","5300"
11,"TPL2","5","27","female","PracticeFirstWord",NA,"1","3","leggiadrous","elegant","0","legend","3725"
11,"TPL2","5","27","female","PracticeRecall","firstword","1","1","infandous","horrible","1","horrible","15521"
11,"TPL2","5","27","female","PracticeRecall","firstword","1","2","leggiadrous","elegant","1","elegant","4561"
11,"TPL2","5","27","female","PracticeRecall","firstword","1","3","droze","drip","1","drip","2395"
11,"TPL2","5","27","female","First Word",NA,"1","1","valinch","tube","0","vanish","4472"
11,"TPL2","5","27","female","First Word",NA,"1","2","inculcate","instil","0","calculate","8720"
11,"TPL2","5","27","female","First Word",NA,"1","3","gossamer","flimsy","0","big","5741"
11,"TPL2","5","27","female","First Word",NA,"1","4","esculent","edible","0","elegant","6142"
11,"TPL2","5","27","female","First Word",NA,"1","5","subvention","grant","0","intervention","8046"
11,"TPL2","5","27","female","First Word",NA,"1","6","immure","imprison","0","imun","4377"
11,"TPL2","5","27","female","First Word",NA,"1","7","compendious","concise","0","competitive","7111"
11,"TPL2","5","27","female","First Word",NA,"1","8","subluxation","dislocation","0","relaxtion","6326"
11,"TPL2","5","27","female","First Word",NA,"1","9","orotund","pompous","0","tune","6340"
11,"TPL2","5","27","female","First Word",NA,"1","10","burgeon","flourish","0","burgular","4658"
11,"TPL2","5","27","female","First Word",NA,"1","11","sprauncy","smart","0","spring","6952"
11,"TPL2","5","27","female","First Word",NA,"1","12","spoffish","fussy","0","ignorant","9622"
11,"TPL2","5","27","female","First Word",NA,"1","13","recreant","surrendering","0","recreation","5774"
11,"TPL2","5","27","female","First Word",NA,"1","14","contumacious","rebellious","0","continue","9969"
11,"TPL2","5","27","female","First Word",NA,"1","15","peculate","embezzle","0","spectacular","5880"
11,"TPL2","5","27","female","Recall","First Word","1","1","subluxation","dislocation","0","relaxtion","7412"
11,"TPL2","5","27","female","Recall","First Word","1","2","compendious","concise","0","complete","4705"
11,"TPL2","5","27","female","Recall","First Word","1","3","burgeon","flourish","0","burgular","7081"
11,"TPL2","5","27","female","Recall","First Word","1","4","esculent","edible","0","scent","4394"
11,"TPL2","5","27","female","Recall","First Word","1","5","valinch","tube","1","tube","9246"
11,"TPL2","5","27","female","Recall","First Word","1","6","spoffish","fussy","1","fussy","2711"
11,"TPL2","5","27","female","Recall","First Word","1","7","peculate","embezzle","0","spectacular","10592"
11,"TPL2","5","27","female","Recall","First Word","1","8","gossamer","flimsy","0","smart","5020"
11,"TPL2","5","27","female","Recall","First Word","1","9","immure","imprison","1","imprison","13676"
11,"TPL2","5","27","female","Recall","First Word","1","10","subvention","grant","0","intervention","6669"
11,"TPL2","5","27","female","Recall","First Word","1","11","orotund","pompous","0","ordure","10136"
11,"TPL2","5","27","female","Recall","First Word","1","12","contumacious","rebellious","0","continue","3928"
11,"TPL2","5","27","female","Recall","First Word","1","13","sprauncy","smart","1","smart","5386"
11,"TPL2","5","27","female","Recall","First Word","1","14","recreant","surrendering","0","recreation","4276"
11,"TPL2","5","27","female","Recall","First Word","1","15","inculcate","instil","0","smart","4921"
11,"TPL2","5","27","female","PracticeStudy",NA,"1","1","zamindar","landlord",NA,NA,NA
11,"TPL2","5","27","female","PracticeStudy",NA,"1","2","carcanet","necklace",NA,NA,NA
11,"TPL2","5","27","female","PracticeStudy",NA,"1","3","gadoid","fish",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","1","encomium","tribute",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","2","blandish","flatter",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","3","inchoate","undeveloped",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","4","maunder","ramble",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","5","roil","billow",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","6","superate","overcome",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","7","immolate","sacrifice",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","8","imprecation","curse",NA,NA,NA
11,"TPL2","5","27","female","Study",NA,"1","9","frond","leaf",NA,NA,NA
